Date and Time,End Time,Duration (min),Activity,Quantity,Extra data,Text,Notes,Caregiver
1/1/2021 19:12,,,Weight,11.88,lbs,Baby B's weight: 11 lbs 14 oz,,Mom
12/21/2020 18:35,,,Weight,11.63,lbs,Baby B's weight: 11.63 lbs,,Mom
12/19/2020 19:16,,,Weight,11.5,lbs,Baby B's weight: 11 lbs 8 oz,,Mom
12/17/2020 18:39,,,Weight,11.46,lbs,Baby B's weight: 11.46 lbs,,Mom
12/15/2020 18:12,,,Weight,11.57,lbs,Baby B's weight: 11.57 lbs,,Dad
12/15/2020 11:30,12/15/2020 12:58,88,Sleep,,,Baby B slept (1h28m),,Mom
12/15/2020 10:25,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/15/2020 9:57,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/15/2020 9:57,12/15/2020 10:15,15,Nursing,,,"Baby B nursed (9m right, 6m left)",,Mom
12/15/2020 8:50,12/15/2020 9:52,62,Sleep,,,Baby B slept (1h02m),,Mom
12/15/2020 7:47,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/15/2020 7:07,12/15/2020 7:21,12,Nursing,,,Baby B nursed (12m left),,Mom
12/15/2020 4:09,12/15/2020 7:05,176,Sleep,,,Baby B slept (2h56m),,Mom
12/15/2020 3:51,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/15/2020 3:36,12/15/2020 4:00,20,Nursing,,,"Baby B nursed (10m right, 9m left)",,Mom
12/15/2020 1:56,12/15/2020 3:36,100,Sleep,,,Baby B slept (1h40m),,Mom
12/15/2020 3:25,,,Medicine,,(null),Tylenol,,Dad
12/15/2020 1:48,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/15/2020 1:30,12/15/2020 1:56,21,Nursing,,,"Baby B nursed (11m left, 10m right)",,Mom
12/14/2020 22:19,12/15/2020 1:30,191,Sleep,,,Baby B slept (3h11m),,Mom
12/14/2020 22:10,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/14/2020 21:53,12/14/2020 22:17,20,Nursing,,,"Baby B nursed (10m right, 10m left)",,Mom
12/14/2020 19:17,12/14/2020 21:53,156,Sleep,,,Baby B slept (2h36m),,Mom
12/14/2020 19:28,,,Pumping,2,oz,2 oz Expressed,,Mom
12/14/2020 19:02,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Dad
12/14/2020 18:52,12/14/2020 19:02,9,Nursing,,,Baby B nursed (9m left),,Mom
12/14/2020 18:40,,,Bottle,1,Milk,Baby B drank 1 oz of milk,,Mom
12/14/2020 16:57,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/14/2020 16:24,12/14/2020 16:47,22,Nursing,,,"Baby B nursed (14m right, 8m left)",,Mom
12/14/2020 14:56,12/14/2020 16:23,88,Sleep,,,Baby B slept (1h28m),,Dad
12/14/2020 13:29,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/14/2020 13:11,12/14/2020 13:34,20,Nursing,,,"Baby B nursed (12m left, 8m right)",,Mom
12/14/2020 12:24,12/14/2020 13:10,46,Sleep,,,Baby B slept (46m),,Dad
12/14/2020 12:19,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/14/2020 11:18,12/14/2020 11:25,7,Nursing,,,Baby B nursed (7m right),,Mom
12/14/2020 10:30,,,Height,23.86,inch,Baby B's height: 60.6 cm,,Mom
12/14/2020 10:30,,,Weight,11.38,lbs,Baby B's weight: 11.38 lbs,,Mom
12/14/2020 9:39,,,Diaper,,Wet,Baby B had a wet diaper (large),,Mom
12/14/2020 9:16,12/14/2020 9:33,15,Nursing,,,"Baby B nursed (10m right, 5m left)",,Mom
12/14/2020 8:21,12/14/2020 9:15,54,Sleep,,,Baby B slept (54m),,Mom
12/14/2020 7:57,,,Diaper,,Poopy,Baby B had a poopy diaper (medium),,Dad
12/14/2020 7:02,,,Medicine,,(null),Tylenol,,Mom
12/14/2020 7:00,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Mom
12/14/2020 6:31,12/14/2020 6:50,17,Nursing,,,"Baby B nursed (10m left, 7m right)",,Mom
12/14/2020 5:20,12/14/2020 6:30,70,Sleep,,,Baby B slept (1h10m),,Mom
12/14/2020 5:12,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/14/2020 4:57,12/14/2020 5:19,17,Nursing,,,"Baby B nursed (10m right, 7m left)",,Mom
12/14/2020 2:47,12/14/2020 4:57,130,Sleep,,,Baby B slept (2h10m),,Mom
12/14/2020 2:38,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
